timestamp,latitude,longitude,altitude,speed,battery,mission
1763730579904,47.3979,8.54616,12.003,0.01,50,None
1763730580104,47.3979,8.54616,12.004,0.01,50,None
1763730580304,47.3979,8.54616,12.002,0.01,50,None
1763730580504,47.3979,8.54616,12.001,0.01,50,None
1763730580704,47.3979,8.54616,12,0.01,50,None
1763730580905,47.3979,8.54616,11.997,0.01,50,None
1763730581105,47.3979,8.54616,11.996,0,50,None
1763730581305,47.3979,8.54616,11.994,0.01,50,None
1763730581505,47.3979,8.54616,11.993,0.01,50,None
1763730581705,47.3979,8.54616,11.996,0.01,50,None
1763730581905,47.3979,8.54616,12,0.01,50,None
1763730582105,47.3979,8.54616,12.003,0.02,50,None
1763730582305,47.3979,8.54616,12.007,0.02,50,None
1763730582505,47.3979,8.54616,12.009,0.02,50,None
1763730582706,47.3979,8.54616,12.008,0.01,50,None
1763730582906,47.3979,8.54616,12.007,0.01,50,None
1763730583106,47.3979,8.54616,12.007,0.01,50,None
1763730583306,47.3979,8.54616,12.007,0.01,50,None
1763730583506,47.3979,8.54616,12.007,0.0141421,50,None
1763730583706,47.3979,8.54616,12.006,0.0141421,50,None
1763730583906,47.3979,8.54616,12.003,0.0141421,50,None
1763730584106,47.3979,8.54616,12.002,0.01,50,None
1763730584307,47.3979,8.54616,12.001,0,50,None
1763730584507,47.3979,8.54616,12,0.01,50,None
1763730584707,47.3979,8.54616,11.999,0.01,50,None
1763730584907,47.3979,8.54616,11.998,0,50,None
1763730585107,47.3979,8.54616,11.997,0,50,None
1763730585307,47.3979,8.54616,11.995,0,50,None
1763730585507,47.3979,8.54616,11.993,0,50,None
1763730585707,47.3979,8.54616,11.991,0,50,None
1763730585907,47.3979,8.54616,11.992,0.01,50,None
1763730586108,47.3979,8.54616,11.995,0,50,None
1763730586308,47.3979,8.54616,11.997,0,50,None
1763730586508,47.3979,8.54616,11.998,0,50,None
1763730586708,47.3979,8.54616,12,0.0141421,50,None
1763730586908,47.3979,8.54616,12.001,0.0223607,50,None
1763730587108,47.3979,8.54616,12.001,0.0223607,50,None
1763730587308,47.3979,8.54616,12.001,0.0223607,50,None
1763730587508,47.3979,8.54616,12.002,0.02,50,None
1763730587708,47.3979,8.54616,12.004,0.01,50,None
1763730587909,47.3979,8.54616,12.004,0.01,50,None
1763730588109,47.3979,8.54616,12.004,0,50,None
1763730588309,47.3979,8.54616,12.007,0.01,50,None
1763730588509,47.3979,8.54616,12.01,0.01,50,None
1763730588709,47.3979,8.54616,12.012,0.01,50,None
1763730588909,47.3979,8.54616,12.014,0.0141421,50,None
1763730589109,47.3979,8.54616,12.015,0.0141421,50,None
1763730589309,47.3979,8.54616,12.015,0.0141421,50,None
1763730589509,47.3979,8.54616,12.015,0.0141421,50,None
1763730589710,47.3979,8.54616,12.013,0.0173205,50,None
1763730589910,47.3979,8.54616,12.012,0.0173205,50,None
1763730590110,47.3979,8.54616,12.008,0.0173205,50,None
1763730590310,47.3979,8.54616,12.003,0.01,50,None
1763730590510,47.3979,8.54616,11.998,0.01,50,None
1763730590710,47.3979,8.54616,11.995,0,50,None
1763730590910,47.3979,8.54616,11.993,0.01,50,None
1763730591110,47.3979,8.54616,11.994,0.0141421,50,None
1763730591310,47.3979,8.54616,11.995,0.0282843,50,None
1763730591511,47.3979,8.54616,11.995,0.0360555,50,None
1763730591711,47.3979,8.54616,11.994,0.0316228,50,None
1763730591911,47.3979,8.54616,11.993,0.0316228,50,None
1763730592111,47.3979,8.54616,11.993,0.02,50,None
1763730592311,47.3979,8.54616,11.994,0.02,50,None
1763730592511,47.3979,8.54616,11.995,0.0141421,50,None
1763730592711,47.3979,8.54616,11.999,0.0141421,50,None
1763730592911,47.3979,8.54616,12.003,0.01,50,None
1763730593111,47.3979,8.54616,12.005,0.01,50,None
1763730593312,47.3979,8.54616,12.005,0.01,50,None
1763730593512,47.3979,8.54616,12.003,0.01,50,None
1763730593712,47.3979,8.54616,12,0.01,50,None
1763730593912,47.3979,8.54616,11.996,0,50,None
1763730594112,47.3979,8.54616,11.994,0,50,None
1763730594312,47.3979,8.54616,11.993,0,50,None
1763730594512,47.3979,8.54616,11.994,0,50,None
1763730594712,47.3979,8.54616,11.994,0,50,None
1763730594912,47.3979,8.54616,11.994,0,50,None
1763730595113,47.3979,8.54616,11.994,0,50,None
1763730595313,47.3979,8.54616,11.994,0.01,50,None
1763730595513,47.3979,8.54616,11.992,0.01,50,None
1763730595713,47.3979,8.54616,11.992,0.01,50,None
1763730595913,47.3979,8.54616,11.992,0,50,None
1763730596113,47.3979,8.54616,11.993,0,50,None
1763730596313,47.3979,8.54616,11.995,0,50,None
1763730596513,47.3979,8.54616,11.996,0,50,None
1763730596713,47.3979,8.54616,11.997,0,50,None
1763730596914,47.3979,8.54616,11.998,0.0141421,50,None
1763730597114,47.3979,8.54616,12,0.0141421,50,None
1763730597314,47.3979,8.54616,12.001,0.0223607,50,None
1763730597514,47.3979,8.54616,12.002,0.01,50,None
1763730597714,47.3979,8.54616,12.003,0.01,50,None
1763730597914,47.3979,8.54616,12.004,0.01,50,None
1763730598114,47.3979,8.54616,12.007,0.01,50,None
1763730598314,47.3979,8.54616,12.011,0.01,50,None
1763730598514,47.3979,8.54616,12.014,0.0141421,50,None
1763730598715,47.3979,8.54616,12.013,0.01,50,None
1763730598915,47.3979,8.54616,12.009,0.01,50,None
